SEASON,GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,TEAM_ABBREVIATION,MIN,PTS,FGA,FGM,FG3A,FG3M,FTA,FTM,TS,WL
2015-16,0021500002,2015-10-27,CLE @ CHI,1610612739,CLE,240,95,94,38,29,9,17,10,0.46807252660622783,L
2015-16,0021500003,2015-10-27,NOP @ GSW,1610612740,NOP,240,95,83,35,18,6,27,19,0.5006323777403036,L
2015-16,0021500002,2015-10-27,CHI vs. CLE,1610612741,CHI,240,97,87,37,19,7,23,16,0.4993822075782537,W
2015-16,0021500003,2015-10-27,GSW vs. NOP,1610612744,GSW,240,111,96,41,30,9,22,20,0.5251703255109765,W
2015-16,0021500001,2015-10-27,DET @ ATL,1610612765,DET,240,106,96,37,29,12,26,20,0.4932985852568876,W
2015-16,0021500001,2015-10-27,ATL vs. DET,1610612737,ATL,240,94,82,37,27,8,15,12,0.5304740406320542,L
2015-16,0021500005,2015-10-28,BOS vs. PHI,1610612738,BOS,240,112,85,39,24,8,27,26,0.5780346820809249,W
2015-16,0021500006,2015-10-28,CHI @ BKN,1610612741,CHI,240,115,78,42,28,14,20,17,0.6624423963133641,W
2015-16,0021500010,2015-10-28,HOU vs. DEN,1610612745,HOU,240,85,87,30,35,8,26,17,0.4317350670459163,L
2015-16,0021500017,2015-10-28,LAL vs. MIN,1610612747,LAL,240,111,90,35,34,9,35,32,0.5265654648956356,L
2015-16,0021500006,2015-10-28,BKN vs. CHI,1610612751,BKN,240,100,93,39,9,0,28,22,0.474743638435245,L
2015-16,0021500012,2015-10-28,NYK @ MIL,1610612752,NYK,240,122,93,42,23,9,35,29,0.562730627306273,W
2015-16,0021500004,2015-10-28,ORL vs. WAS,1610612753,ORL,240,87,100,37,26,5,12,8,0.4131838905775076,L
2015-16,0021500009,2015-10-28,IND @ TOR,1610612754,IND,240,99,86,32,23,9,31,26,0.4967884383781614,L
2015-16,0021500005,2015-10-28,PHI @ BOS,1610612755,PHI,240,95,83,34,22,7,23,20,0.510094501718213,L
2015-16,0021500015,2015-10-28,POR vs. NOP,1610612757,POR,240,112,88,44,32,12,14,12,0.5947323704333051,W
2015-16,0021500009,2015-10-28,TOR vs. IND,1610612761,TOR,240,106,80,36,18,7,39,27,0.5454919720049404,W
2015-16,0021500007,2015-10-28,UTA @ DET,1610612762,UTA,240,87,75,35,12,2,21,15,0.5163817663817664,L
2015-16,0021500004,2015-10-28,WAS @ ORL,1610612764,WAS,240,88,84,33,28,7,25,15,0.4631578947368421,W
2015-16,0021500007,2015-10-28,DET vs. UTA,1610612765,DET,240,92,74,30,19,7,34,25,0.5170863309352518,W
2015-16,0021500008,2015-10-28,CHA @ MIA,1610612766,CHA,240,94,84,33,24,6,29,22,0.4857379082265399,L
2015-16,0021500011,2015-10-28,CLE @ MEM,1610612739,CLE,240,106,84,41,29,13,17,11,0.5793616090948841,W
2015-16,0021500015,2015-10-28,NOP @ POR,1610612740,NOP,240,94,91,36,33,11,18,11,0.47513141932875047,L
2015-16,0021500014,2015-10-28,DAL @ PHX,1610612742,DAL,240,111,85,40,21,10,31,21,0.5626520681265207,W
2015-16,0021500010,2015-10-28,DEN @ HOU,1610612743,DEN,240,105,79,40,27,13,18,12,0.6040036815462494,W
2015-16,0021500016,2015-10-28,LAC @ SAC,1610612746,LAC,240,111,80,42,19,6,31,21,0.5926954293037163,W
2015-16,0021500008,2015-10-28,MIA vs. CHA,1610612748,MIA,240,104,73,36,20,12,21,20,0.6322957198443581,W
2015-16,0021500012,2015-10-28,MIL vs. NYK,1610612749,MIL,240,97,86,30,18,9,31,28,0.48675230830991567,L
2015-16,0021500017,2015-10-28,MIN @ LAL,1610612750,MIN,240,112,83,38,20,5,37,31,0.5640612409347301,W
2015-16,0021500014,2015-10-28,PHX vs. DAL,1610612756,PHX,240,95,87,34,24,6,33,21,0.4678881008668243,L
2015-16,0021500016,2015-10-28,SAC vs. LAC,1610612758,SAC,240,104,94,41,24,11,18,11,0.5102040816326531,L
2015-16,0021500013,2015-10-28,SAS @ OKC,1610612759,SAS,240,106,93,45,15,5,13,11,0.536871961102107,L
2015-16,0021500013,2015-10-28,OKC vs. SAS,1610612760,OKC,240,112,86,42,19,7,22,21,0.5852842809364548,W
2015-16,0021500011,2015-10-28,MEM vs. CLE,1610612763,MEM,240,76,82,29,16,2,22,16,0.4144851657940663,L
2015-16,0021500020,2015-10-29,DAL @ LAC,1610612742,DAL,240,88,97,35,30,6,15,12,0.42471042471042475,L
2015-16,0021500018,2015-10-29,IND vs. MEM,1610612754,IND,240,103,78,37,30,12,24,17,0.5815266485998193,L
2015-16,0021500018,2015-10-29,MEM @ IND,1610612763,MEM,240,112,82,41,16,7,29,23,0.5909666525960321,W
2015-16,0021500019,2015-10-29,ATL @ NYK,1610612737,ATL,240,112,83,42,24,10,26,18,0.5929690808979247,W
2015-16,0021500020,2015-10-29,LAC vs. DAL,1610612746,LAC,240,104,87,38,31,8,33,20,0.5122143420015761,W
2015-16,0021500019,2015-10-29,NYK vs. ATL,1610612752,NYK,240,101,93,38,29,6,21,19,0.49393583724569645,L
2015-16,0021500030,2015-10-30,HOU vs. GSW,1610612745,HOU,240,92,82,30,23,5,36,27,0.4701553556827473,L
2015-16,0021500031,2015-10-30,LAL @ SAC,1610612747,LAL,240,114,89,41,34,11,27,21,0.5650277557494052,L
2015-16,0021500022,2015-10-30,ORL vs. OKC,1610612753,ORL,290,136,106,47,33,12,38,30,0.5541069100391134,L
2015-16,0021500032,2015-10-30,POR @ PHX,1610612757,POR,240,92,86,34,24,9,19,15,0.4874947011445528,L
2015-16,0021500031,2015-10-30,SAC vs. LAL,1610612758,SAC,240,132,101,52,22,6,30,22,0.5779334500875657,W
2015-16,0021500028,2015-10-30,SAS vs. BKN,1610612759,SAS,240,102,86,40,22,9,13,13,0.5560401221107719,W
2015-16,0021500024,2015-10-30,TOR @ BOS,1610612761,TOR,240,113,82,36,26,11,35,30,0.580082135523614,W
2015-16,0021500027,2015-10-30,WAS @ MIL,1610612764,WAS,240,118,68,35,21,12,44,36,0.6753663003663004,W
2015-16,0021500025,2015-10-30,DET vs. CHI,1610612765,DET,265,98,104,39,28,6,28,14,0.42125171939477307,W
2015-16,0021500026,2015-10-30,CHA @ ATL,1610612766,CHA,240,94,88,36,30,12,13,10,0.5014938113529663,L
2015-16,0021500024,2015-10-30,BOS vs. TOR,1610612738,BOS,240,103,85,32,26,7,41,32,0.49980590062111807,L
2015-16,0021500021,2015-10-30,CLE vs. MIA,1610612739,CLE,240,102,86,39,25,6,21,18,0.5354892902141958,W
2015-16,0021500025,2015-10-30,CHI @ DET,1610612741,CHI,265,94,84,34,22,7,26,19,0.4924559932942163,L
2015-16,0021500029,2015-10-30,DEN vs. MIN,1610612743,DEN,240,78,95,29,25,5,20,15,0.3757225433526012,L
2015-16,0021500030,2015-10-30,GSW @ HOU,1610612744,GSW,240,112,93,43,26,9,25,17,0.5384615384615384,W
2015-16,0021500021,2015-10-30,MIA @ CLE,1610612748,MIA,240,92,77,33,21,6,22,20,0.5306875865251499,L
2015-16,0021500027,2015-10-30,MIL vs. WAS,1610612749,MIL,240,113,82,42,24,7,28,22,0.5990245971162003,L
2015-16,0021500029,2015-10-30,MIN @ DEN,1610612750,MIN,240,95,71,30,11,2,41,33,0.5334681042228212,W
2015-16,0021500028,2015-10-30,BKN @ SAS,1610612751,BKN,240,75,77,31,16,5,15,8,0.44856459330143544,L
2015-16,0021500023,2015-10-30,PHI vs. UTA,1610612755,PHI,240,71,63,19,15,6,37,27,0.4477800201816347,L
2015-16,0021500032,2015-10-30,PHX vs. POR,1610612756,PHX,240,110,83,37,18,4,42,32,0.5419787150177374,W
2015-16,0021500023,2015-10-30,UTA @ PHI,1610612762,UTA,240,99,88,36,13,7,25,20,0.5,W
2015-16,0021500026,2015-10-30,ATL vs. CHA,1610612737,ATL,240,97,83,36,23,8,22,17,0.5233059991368149,W
2015-16,0021500022,2015-10-30,OKC @ ORL,1610612760,OKC,290,139,110,50,27,8,38,31,0.5484532828282829,W
2015-16,0021500035,2015-10-31,NOP vs. GSW,1610612740,NOP,240,120,100,46,22,8,23,20,0.5448601525608427,L
2015-16,0021500038,2015-10-31,LAC vs. SAC,1610612746,LAC,240,114,76,39,17,4,46,32,0.5922693266832918,W
2015-16,0021500036,2015-10-31,BKN @ MEM,1610612751,BKN,240,91,79,38,13,3,18,12,0.5234698573400828,L
2015-16,0021500038,2015-10-31,SAC @ LAC,1610612758,SAC,240,109,101,43,18,6,25,17,0.48660714285714285,L
2015-16,0021500036,2015-10-31,MEM vs. BKN,1610612763,MEM,240,101,80,34,23,9,28,24,0.5470103986135182,W
2015-16,0021500034,2015-10-31,WAS vs. NYK,1610612764,WAS,240,110,90,38,22,6,33,28,0.5262150784538845,L
2015-16,0021500035,2015-10-31,GSW @ NOP,1610612744,GSW,240,134,84,46,30,17,35,25,0.6740442655935613,W
2015-16,0021500034,2015-10-31,NYK @ WAS,1610612752,NYK,240,117,86,41,19,9,32,26,0.5845323741007195,W
2015-16,0021500033,2015-10-31,IND vs. UTA,1610612754,IND,240,76,70,28,17,4,21,16,0.47955577990913684,L
2015-16,0021500037,2015-10-31,PHX @ POR,1610612756,PHX,240,101,94,39,32,11,16,12,0.49980205859065713,W
2015-16,0021500037,2015-10-31,POR vs. PHX,1610612757,POR,240,90,79,33,30,8,28,16,0.492772667542707,L
2015-16,0021500033,2015-10-31,UTA @ IND,1610612762,UTA,240,97,88,39,15,6,18,13,0.5056296914095079,W
2015-16,0021500039,2015-11-01,ATL @ CHA,1610612737,ATL,240,94,88,37,29,7,14,13,0.49915038232795245,W
2015-16,0021500040,2015-11-01,BOS vs. SAS,1610612738,BOS,240,87,98,35,29,6,14,11,0.4176267281105991,L
2015-16,0021500044,2015-11-01,DEN @ OKC,1610612743,DEN,240,93,92,35,26,9,19,14,0.46333200478278197,L
2015-16,0021500041,2015-11-01,HOU @ MIA,1610612745,HOU,240,89,79,32,36,10,18,15,0.5119650253106305,L
2015-16,0021500045,2015-11-01,LAL vs. DAL,1610612747,LAL,240,93,85,31,34,10,28,21,0.4778051787916153,L
2015-16,0021500042,2015-11-01,MIL @ TOR,1610612749,MIL,240,87,69,29,19,5,24,24,0.5467571644042232,L
2015-16,0021500042,2015-11-01,TOR vs. MIL,1610612761,TOR,240,106,90,41,25,11,20,13,0.5364372469635628,W
